internal/app/app.go:358:12: [CWE-276] Expect WriteFile permissions to be 0600 or less (Rule:G306, Severity:MEDIUM, Confidence:HIGH)
internal/app/app.go:436:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/app.go:439:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/app.go:501:7: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/app.go:559:19: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/app.go:563:18: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/app.go:90:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1043:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1101:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1160:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1164:13: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1164:13: [CWE-276] Expect file permissions to be 0600 or less (Rule:G302, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1176:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1188:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1195:9: [CWE-276] Expect WriteFile permissions to be 0600 or less (Rule:G306, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1199:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1202:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1202:12: [CWE-276] Expect file permissions to be 0600 or less (Rule:G302, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1206:29: [CWE-190] integer overflow conversion uintptr -> int (Rule:G115, Severity:HIGH, Confidence:MEDIUM)
internal/app/background_service.go:1221:23: [CWE-190] integer overflow conversion uintptr -> int (Rule:G115, Severity:HIGH, Confidence:MEDIUM)
internal/app/background_service.go:1274:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:1322:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:416:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:837:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:840:15: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:887:24: [CWE-22] Path traversal via taint analysis (Rule:G703, Severity:HIGH, Confidence:HIGH)
internal/app/background_service.go:934:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:937:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:940:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/background_service.go:953:12: [CWE-276] Expect WriteFile permissions to be 0600 or less (Rule:G306, Severity:MEDIUM, Confidence:HIGH)
internal/app/service.go:560:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/app/service.go:565:12: [CWE-276] Expect WriteFile permissions to be 0600 or less (Rule:G306, Severity:MEDIUM, Confidence:HIGH)
internal/caddy/caddy.go:194:9: [CWE-276] Expect WriteFile permissions to be 0600 or less (Rule:G306, Severity:MEDIUM, Confidence:HIGH)
internal/config/config.go:112:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/config/config.go:179:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/config/config.go:183:12: [CWE-276] Expect WriteFile permissions to be 0600 or less (Rule:G306, Severity:MEDIUM, Confidence:HIGH)
internal/dns/dns.go:113:13: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/dns/dns.go:137:15: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/dns/dns.go:158:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
internal/dns/dns.go:205:24: [CWE-22] Path traversal via taint analysis (Rule:G703, Severity:HIGH, Confidence:HIGH)
internal/stack/load.go:12:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
internal/sys/sys.go:13:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
internal/sys/sys.go:20:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
internal/tunnel/providers/cloudflare/api_mode.go:26:2: [CWE-798] Potential hardcoded credentials (Rule:G101, Severity:HIGH, Confidence:LOW)
internal/tunnel/providers/cloudflare/provider.go:30:2: [CWE-798] Potential hardcoded credentials (Rule:G101, Severity:HIGH, Confidence:LOW)
internal/tunnel/providers/cloudflare/provider.go:662:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
internal/tunnel/providers/cloudflare/provider.go:679:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
internal/tunnel/providers/tailscale/provider.go:283:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
